u_katz,u_perm_entropy,u_kurtosis,v_katz,v_perm_entropy,v_kurtosis,w_katz,w_perm_entropy,w_kurtosis,front_DE_Y_katz,front_DE_Y_perm_entropy,front_DE_Y_kurtosis,front_DE_Z_katz,front_DE_Z_perm_entropy,front_DE_Z_kurtosis,rear_NDE_Y_katz,rear_NDE_Y_perm_entropy,rear_NDE_Y_kurtosis,rear_NDE_Z_katz,rear_NDE_Z_perm_entropy,rear_NDE_Z_kurtosis,housing_katz,housing_perm_entropy,housing_kurtosis
-0.39552570277933047,0.696443093949538,-0.5157197806864638,-0.38811376940338055,0.7015776787476802,-0.5061960591465026,-0.3933112852230503,0.7009298503687207,-0.5205883817400807,-0.6202886873085014,0.6855376580450941,-0.35403082136540376,-0.5320361804426453,0.615326902549636,-0.09227042349511698,-0.5784294122425416,0.6434381523072562,-0.09703349955734045,-0.5837728210695735,0.6669454377683601,0.02445011295841794,-0.3583567061617419,0.6504791916682948,-0.1138687733914961
-0.3014840857091907,0.6980149304344835,-0.5199372407234877,-0.3010265291254389,0.6974456571167262,-0.5032034503616815,-0.3099795932827872,0.692939988321968,-0.5207608661082086,-0.6152806866361737,0.6866170426839185,-0.1578459903506097,-0.5277774697151709,0.6153019897773045,-0.0739787444258899,-0.5852382393227777,0.6528528297711309,-0.086295489754368,-0.5774576986862205,0.6680928320836523,-0.10419534293619133,-0.37405943216086773,0.6596761921724814,-0.1580677673220691
-0.33683441225926747,0.6790306392592352,-0.5122907793569026,-0.34212080481734986,0.6791358186843932,-0.5053584580847932,-0.3325724848206843,0.682828655318964,-0.5234245632433795,-0.6200196009089188,0.6802604733957013,-0.2924765113239398,-0.5389513804471372,0.6162175913487109,-0.030647907356964495,-0.5842686202961435,0.6463885799892496,-0.09223928939930379,-0.5802670531507923,0.6676304714458491,0.09629525099363731,-0.36321688132956914,0.6500318606308227,0.014045967023499261
-0.34946673875721296,0.6794827671732456,-0.5103490614643321,-0.34184968428618506,0.6737842278025731,-0.4991475642746127,-0.32795750814047187,0.678067079817939,-0.5232514398682147,-0.6262349076258166,0.6781385053504327,-0.26332653275627743,-0.5369906050407414,0.6163763161072346,-0.09600275602190965,-0.5965800267834329,0.6436029408405717,-0.2424588771861374,-0.5879015862969561,0.6686100222554843,-0.1162992855277057,-0.3585947577963378,0.6523401244607506,-0.11523599366542991
-0.2714279481373293,0.6911363909417745,-0.5222716469517125,-0.2753608198786236,0.6847277915154987,-0.5131567620601307,-0.27411309806278883,0.688567014827534,-0.5127920826735263,-0.6103403544876064,0.6741890780363172,-0.25313052112467876,-0.5189794678329717,0.6160385166398782,-0.3063482295610188,-0.5868197395990457,0.6446067650118165,-0.1651462112937046,-0.5766503424646414,0.6664565295354287,-0.19766388541014798,-0.3533420528444132,0.6576346656341554,-0.25746141852443477
-0.29173018719664306,0.6806082381473555,-0.5100034577209533,-0.2914454416986336,0.6850167645591978,-0.5055302766659026,-0.2973891624840899,0.6826940357832897,-0.5241927803854264,-0.6194867989842192,0.6831444009670758,-0.34169909792336134,-0.5316206028105415,0.616196875438057,-0.12131439839102502,-0.5939461600169835,0.6460118147539332,-0.11032193139505313,-0.5788497350742425,0.6648033320453519,-0.12761772895990664,-0.36773990381932364,0.6618944220261748,-0.020243165587062243
-0.31493611291087,0.6995768751849445,-0.50881953713584,-0.308334271783706,0.7020020533733036,-0.5068920976120319,-0.3172507578008034,0.7073453911746211,-0.5229169785108588,-0.6188954496674096,0.6847777917782352,-0.17977812131331378,-0.5447863603520905,0.6168298180379012,-0.05255640764355147,-0.590817309433674,0.638803331041819,0.018393745504078417,-0.5821240797464953,0.6672295081184088,-0.06691637870418171,-0.36566503848484827,0.6560808549895161,-0.030072573901487876
-0.32326097499074097,0.7007543096836867,-0.5121386293127265,-0.31156763400834186,0.7098860341673804,-0.5002591373133302,-0.32256631818795284,0.7061146696886524,-0.5238678655220751,-0.6190864505003312,0.6895151769027779,-0.196334975297479,-0.5331399108372052,0.6160311043190866,0.01792831716005653,-0.591768781103126,0.6451128264593682,-0.08316665168670476,-0.5762510196588887,0.6675069720172742,-0.05544722770066438,-0.36887676588439605,0.6567742987484646,-0.2696610080346476
-0.408041577605748,0.6869916213639932,-0.5174564861005594,-0.40888662325521696,0.6870276394009345,-0.5015719861696528,-0.40857411804304744,0.6876062608353829,-0.5266565019715934,-0.6252984703816156,0.6875452456025776,-0.34017812970710376,-0.5535437146444256,0.6174804577629847,-0.20721492180404646,-0.6028156589264865,0.6539952003061535,-0.2625030213180098,-0.5868893368948521,0.6688259821815273,-0.27475043436603813,-0.3736481824512664,0.6635123686534672,-0.09714309229614697
-0.4215357485716936,0.699154556947351,-0.5116031010326562,-0.4190606720502995,0.6970280705271321,-0.5095356670100629,-0.42115171175945965,0.6988584066805718,-0.5153880943470992,-0.6133861963550795,0.6784910174607961,-0.07314479563208812,-0.5407061119786903,0.6164497994825399,-0.2008420086419255,-0.5805850680520528,0.6372842057349193,0.06919555905205442,-0.5772788475370808,0.667041040794192,-0.16786974765445956,-0.3595649017960246,0.6587965362461177,-0.06803303485040381
-0.35814864847620687,0.7002364173673368,-0.5270853233162184,-0.36457722482424293,0.6940715038744341,-0.5103417020859213,-0.3623356860498057,0.7032791527335941,-0.5165393767416576,-0.6225992505647008,0.6866988437291274,-0.3269269549087468,-0.5281659597489707,0.6160837326117422,-0.16259805623152715,-0.5896385240170663,0.6471216232988631,-0.10726616819884734,-0.5856428299230905,0.6668668209134186,-0.18207930507066045,-0.37115982705171924,0.6646925960513781,-0.22686019897868623
-0.3304421321895016,0.6935408010240492,-0.5219494392073252,-0.3364395255659865,0.6907660862275181,-0.4998657158507505,-0.32736011037649004,0.6996811885913002,-0.5250874504956372,-0.6198459892394084,0.6807502087311482,-0.2870679814182673,-0.5324472718787279,0.6150882454190322,-0.13603814483355395,-0.5842463016099386,0.644163854814727,-0.22294288146703153,-0.5838712069744066,0.6662310312679495,-0.11020464762557912,-0.3715867697350294,0.6607989950452892,-0.22548381652798924
-0.3373420067935054,0.6797017752993655,-0.5036809993564194,-0.31487734700359304,0.6854774186349112,-0.5038232481526591,-0.3238277214753189,0.6925766346566657,-0.5273281668466656,-0.6146059692368787,0.6784680755657764,-0.14213451753247577,-0.5226078969044512,0.6166576736928949,0.0047386984542906385,-0.5896783210580109,0.643462535121518,0.057696379223768024,-0.5790216008882778,0.6656114589982491,-0.028859247143701444,-0.3531245569132979,0.6468717728219082,-0.13867799109349327
-0.3154230333803659,0.6748668689357973,-0.5148331872199406,-0.32377315393462486,0.6689380303108057,-0.5095933169897723,-0.32929333177063375,0.6780679325557578,-0.5081194233723262,-0.6267679749769557,0.6942628274833331,-0.2898497250736911,-0.529353078401899,0.6164817394901759,0.027749870849119986,-0.5959334389103288,0.6445519430893896,-0.17692341740893303,-0.5927734596068209,0.6689662003156261,-0.13394625352194017,-0.3681370048520366,0.6524223177547281,-0.22166035946558627
-0.28595572359070975,0.6893260121481107,-0.5172533238016922,-0.28905759943141635,0.6851333661055028,-0.5079578379100779,-0.2994627182162617,0.6857249497107608,-0.5233324261837763,-0.6191664968744561,0.6818171600326296,-0.22849670371909428,-0.5229856862036837,0.6152571622995247,-0.0553268401043413,-0.5905496070866917,0.6434459146603486,-0.222086491461439,-0.5822700166523228,0.6679314090687177,-0.2137560598404101,-0.36477552864862456,0.6696415085679589,-0.018259042332561072
